127.0.0.1 - - [21/Nov/2020:10:00:50 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:00:52 +0530] "GET /e-Library/index.html HTTP/1.1" 200 2730
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:00:52 +0530] "GET /e-Library/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:00:52 +0530] "GET /e-Library/jquery.min.js HTTP/1.1" 200 95992
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:00:53 +0530] "GET /e-Library/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:00:54 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:02:03 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:03:51 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:03:52 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:04:04 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:04:15 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:05:32 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:05:47 +0530] "POST /e-Library/AdminLogin HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:08:41 +0530] "POST /e-Library/AdminLogin HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:08:41 +0530] "GET /e-Library/images/admin2.jpg HTTP/1.1" 200 5720547
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:08:41 +0530] "GET /e-Library/images/admin1.jpg HTTP/1.1" 200 532240
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:08:42 +0530] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:08:42 +0530] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:08:42 +0530] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:09:01 +0530] "POST /e-Library/AdminLogin HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:09:01 +0530] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:09:01 +0530] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:09:01 +0530] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:09:10 +0530] "GET /e-Library/ViewLibrarian HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:09:41 +0530] "GET /e-Library/EditLibrarianForm?id=2 HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:20:10 +0530] "GET /e-Library/LogoutAdmin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:20:33 +0530] "POST /e-Library/LibrarianLogin HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:22:38 +0530] "POST /e-Library/AdminLogin HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:22:38 +0530] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:22:38 +0530] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:22:38 +0530] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:22:40 +0530] "GET /e-Library/ViewLibrarian HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:23:05 +0530] "POST /e-Library/LibrarianLogin HTTP/1.1" 200 2599
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:23:05 +0530] "GET /e-Library/images/library2.jpg HTTP/1.1" 200 3317590
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:23:05 +0530] "GET /e-Library/images/library1.jpg HTTP/1.1" 200 2546405
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:23:05 +0530] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:23:06 +0530] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:23:06 +0530] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:24:10 +0530] "POST /e-Library/LibrarianLogin HTTP/1.1" 200 2599
