127.0.0.1 - - [31/Dec/2020:22:29:25 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:29:27 +0530] "GET /e-Library/index.html HTTP/1.1" 200 2729
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:29:27 +0530] "GET /e-Library/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:29:27 +0530] "GET /e-Library/jquery.min.js HTTP/1.1" 200 95992
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:29:27 +0530] "GET /e-Library/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:29:28 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:29:56 +0530] "POST /e-Library/AdminLogin HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:30:39 +0530] "POST /e-Library/AdminLogin HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:30:39 +0530] "GET /e-Library/images/admin1.jpg HTTP/1.1" 200 532240
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:30:39 +0530] "GET /e-Library/images/admin2.jpg HTTP/1.1" 200 5720547
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:30:40 +0530] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:30:40 +0530] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:30:40 +0530] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:32:06 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:33:42 +0530] "GET /e-Library/index.html HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:33:43 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:33:57 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:34:00 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:34:05 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:35:59 +0530] "GET /e-Library/index.html HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:36:00 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:36:01 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:36:05 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:36:08 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:36:11 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:37:10 +0530] "GET /e-Library/index.html HTTP/1.1" 200 2663
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:37:12 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:37:12 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:38:15 +0530] "GET /e-Library/index.html HTTP/1.1" 200 2667
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:38:16 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:38:16 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:38:17 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:38:17 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:38:17 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:22:38:17 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
