127.0.0.1 - - [14/Jan/2021:11:11:21 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:11:22 +0530] "GET /e-Library/index.html HTTP/1.1" 200 3302
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:11:23 +0530] "GET /e-Library/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:11:23 +0530] "GET /e-Library/jquery.min.js HTTP/1.1" 200 95992
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:11:23 +0530] "GET /e-Library/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:11:23 +0530] "GET /e-Library/images/logo.jpg HTTP/1.1" 200 7876
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:11:47 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:11:47 +0530] "GET /e-Library/images/logo.jpg HTTP/1.1" 200 7876
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:13:35 +0530] "GET /e-Library/index.html HTTP/1.1" 200 3327
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:13:35 +0530] "GET /e-Library/images/logo.jpg HTTP/1.1" 200 7876
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:13:53 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:13:54 +0530] "GET /e-Library/images/logo.jpg HTTP/1.1" 200 7876
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:14:53 +0530] "GET /e-Library/index.html HTTP/1.1" 200 3347
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:14:53 +0530] "GET /e-Library/images/logo.jpg HTTP/1.1" 200 7876
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:15:12 +0530] "GET /e-Library/index.html HTTP/1.1" 200 3366
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:15:12 +0530] "GET /e-Library/images/logo.jpg HTTP/1.1" 200 7876
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:15:30 +0530] "GET /e-Library/index.html HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:15:30 +0530] "GET /e-Library/images/logo.jpg HTTP/1.1" 200 7876
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:15:32 +0530] "GET /e-Library/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:15:32 +0530] "GET /e-Library/images/logo.jpg HTTP/1.1" 200 7876
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:15:44 +0530] "GET /e-Library/index.html HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:15:44 +0530] "GET /e-Library/images/logo.jpg HTTP/1.1" 200 7876
